,Software Category,Software Name,Link to review page
733,Medical Scheduling Software,Acuity Scheduling,https://www.capterra.com/p/128285/Acuity-Scheduling/reviews/
734,Medical Scheduling Software,Vagaro,https://www.capterra.com/p/153752/Vagaro/reviews/
735,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",SimplePractice,https://www.capterra.com/p/130710/SimplePractice/reviews/
736,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software",NextGen Healthcare,https://www.capterra.com/p/223247/NextGen-Healthcare/reviews/
737,Medical Scheduling Software,SimplyBook.me,https://www.capterra.com/p/140086/Simplybook-me/reviews/
738,"Medical Scheduling Software ,Restaurant Management Software",When I Work,https://www.capterra.com/p/121248/When-I-Work/reviews/
739,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",TheraNest,https://www.capterra.com/p/130400/TheraNest-Mental-Health/reviews/
740,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software ,Hospital Management Software",athenaOne,https://www.capterra.com/p/98735/athenaOne/reviews/
741,"Medical Scheduling Software ,Medical Billing Software ,Telemedicine Software",TherapyNotes,https://www.capterra.com/p/118981/TherapyNotes-com/reviews/
742,"Medical Scheduling Software ,Medical Practice Management Software",Branch,https://www.capterra.com/p/162029/Branch/reviews/
743,Medical Scheduling Software,AxisCare,https://www.capterra.com/p/220467/AxisCare/reviews/
744,"Medical Scheduling Software ,Medical Practice Management Software ,Hospital Management Software",10to8,https://www.capterra.com/p/138962/10to8/reviews/
745,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",Kareo Billing,https://www.capterra.com/p/129169/Kareo/reviews/
746,"Medical Scheduling Software ,Restaurant Management Software",Deputy,https://www.capterra.com/p/147589/Deputy/reviews/
747,"Medical Scheduling Software ,Medical Billing Software",ChiroFusion,https://www.capterra.com/p/220349/ChiroFusion/reviews/
748,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software",NueMD,https://www.capterra.com/p/72470/NueMD/reviews/
749,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",DrChrono,https://www.capterra.com/p/227359/DrChrono/reviews/
750,"Medical Scheduling Software ,Telemedicine Software",Mend,https://www.capterra.com/p/165634/Mend-App/reviews/
751,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software",Practice Fusion,https://www.capterra.com/p/115488/Practice-Fusion/reviews/
752,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",RXNT,https://www.capterra.com/p/110018/rxnt/reviews/
753,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",eClinicalWorks,https://www.capterra.com/p/120360/eClinicalWorks/reviews/
754,Medical Scheduling Software,Therasoft Online,https://www.capterra.com/p/222324/Therasoft-Online/reviews/
755,Medical Scheduling Software,Book Like A Boss,https://www.capterra.com/p/180111/Book-Like-A-Boss/reviews/
756,Medical Scheduling Software,AestheticsPro,https://www.capterra.com/p/218436/AestheticsPro/reviews/
757,Medical Scheduling Software,Appointy,https://www.capterra.com/p/220991/Appointy/reviews/
758,"Medical Scheduling Software ,Medical Practice Management Software",IntakeQ,https://www.capterra.com/p/226542/IntakeQ/reviews/
759,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",Compulink Healthcare Solutions,https://www.capterra.com/p/223296/Compulink-Healthcare-Solutions/reviews/
760,"Medical Scheduling Software ,Medical Practice Management Software",ECLIPSE,https://www.capterra.com/p/27349/ECLIPSE/reviews/
761,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",InSync Healthcare Solutions,https://www.capterra.com/p/226381/InSync-Healthcare-Solutions/reviews/
762,"Medical Scheduling Software ,Medical Practice Management Software",Noterro,https://www.capterra.com/p/164994/SOAP-Vault/reviews/
763,"Medical Scheduling Software ,Healthcare CRM Software",Solutionreach,https://www.capterra.com/p/160916/Solutionreach/reviews/
764,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software",My Clients Plus,https://www.capterra.com/p/80068/My-Clients-Plus/reviews/
765,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",Jane,https://www.capterra.com/p/221392/Jane/reviews/
766,Medical Scheduling Software,TimeClock Plus,https://www.capterra.com/p/21548/TimeClock-Plus/reviews/
767,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software",Benchmark Systems,https://www.capterra.com/p/132989/Benchmark-Practice-Management/reviews/
768,Medical Scheduling Software,Rotageek,https://www.capterra.com/p/162513/RotaGeek/reviews/
769,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",Modernizing Medicine,https://www.capterra.com/p/224625/Modernizing-Medicine/reviews/
770,"Medical Scheduling Software ,Medical Practice Management Software ,Telemedicine Software ,Healthcare CRM Software",PatientPop,https://www.capterra.com/p/147864/PatientPop/reviews/
771,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software ,Healthcare CRM Software",Cerner PowerChart Ambulatory EHR,https://www.capterra.com/p/2341/Cerner-Ambulatory-EHR/reviews/
772,Medical Scheduling Software,ezyVet,https://www.capterra.com/p/221021/ezyVet/reviews/
773,Medical Scheduling Software,AppointmentPlus,https://www.capterra.com/p/44428/AppointmentPlus/reviews/
774,"Medical Scheduling Software ,Medical Practice Management Software ,Hospital Management Software ,Healthcare CRM Software",Caspio,https://www.capterra.com/p/137206/Caspio/reviews/
775,"Medical Scheduling Software ,Medical Practice Management Software",PatientNow,https://www.capterra.com/p/92269/PatientNOW/reviews/
776,"Medical Scheduling Software ,Medical Practice Management Software",Power Diary,https://www.capterra.com/p/231580/Power-Diary/reviews/
777,Medical Scheduling Software,EZBIS,https://www.capterra.com/p/224122/EZBIS/reviews/
778,Medical Scheduling Software,Sling,https://www.capterra.com/p/142542/Sling/reviews/
779,Medical Scheduling Software,IDEXX Neo,https://www.capterra.com/p/226393/IDEXX-Neo/reviews/
780,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",CareCloud,https://www.capterra.com/p/113010/CareCloud/reviews/
781,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software",Intergy,https://www.capterra.com/p/122222/Vitera-Intergy-EHR/reviews/
782,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",CharmHealth,https://www.capterra.com/p/220299/ChARM-EHR/reviews/
783,Medical Scheduling Software,PIMSY Mental Health EHR,https://www.capterra.com/p/221938/PIMSY-Mental-Health-EHR/reviews/
784,Medical Scheduling Software,YellowSchedule,https://www.capterra.com/p/130812/YellowSchedule/reviews/
785,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software",Phreesia,https://www.capterra.com/p/131633/Phreesia/reviews/
786,Medical Scheduling Software,BookSteam,https://www.capterra.com/p/133845/BookSteam/reviews/
787,Medical Scheduling Software,Halo Health,https://www.capterra.com/p/181128/Halo/reviews/
788,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software",75health,https://www.capterra.com/p/140480/75health/reviews/
789,"Medical Scheduling Software ,Medical Billing Software",Therabill,https://www.capterra.com/p/109769/TheraBill/reviews/
790,Medical Scheduling Software,ALIS,https://www.capterra.com/p/212250/ALIS/reviews/
791,"Medical Scheduling Software ,Medical Practice Management Software",Petal Scheduling for Physicians,https://www.capterra.com/p/145352/PetalMD-Medical-Scheduling/reviews/
792,"Medical Scheduling Software ,Healthcare CRM Software",BestNotes,https://www.capterra.com/p/225470/BestNotes/reviews/
793,Medical Scheduling Software,Waitwhile,https://www.capterra.com/p/152494/Waitwhile/reviews/
794,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software",ChartLogic EHR,https://www.capterra.com/p/223385/ChartLogic-EHR/reviews/
795,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software",TotalMD,https://www.capterra.com/p/110016/TotalMD/reviews/
796,Medical Scheduling Software,ClinicSource,https://www.capterra.com/p/226294/ClinicSource/reviews/
797,Medical Scheduling Software,Demandforce,https://www.capterra.com/p/221823/Demandforce/reviews/
798,"Medical Scheduling Software ,Medical Billing Software ,Telemedicine Software",CureMD,https://www.capterra.com/p/222910/CureMD/reviews/
799,Medical Scheduling Software,eSchedule,https://www.capterra.com/p/220932/eSchedule/reviews/
800,"Medical Scheduling Software ,Medical Billing Software ,Telemedicine Software",Net Health Therapy for Hospital Outpatient,https://www.capterra.com/p/161261/ReDoc-powered-by-xfit/reviews/
801,"Medical Scheduling Software ,Telemedicine Software",Luma Health,https://www.capterra.com/p/176533/lumahealth/reviews/
802,"Medical Scheduling Software ,Medical Billing Software",KASA,https://www.capterra.com/p/132036/KASA-EMR/reviews/
803,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software ,Hospital Management Software ,Healthcare CRM Software",Intelligent Medical Software,https://www.capterra.com/p/232595/Intelligent-Medical-Software/reviews/
804,Medical Scheduling Software,Veribook,https://www.capterra.com/p/124063/Veribook/reviews/
805,Medical Scheduling Software,Cogsworth,https://www.capterra.com/p/173160/Cogsworth/reviews/
806,"Medical Scheduling Software ,Telemedicine Software",DoctorConnect,https://www.capterra.com/p/131888/DoctorConnect/reviews/
807,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software",MedicsPremier,https://www.capterra.com/p/129851/MedicsPremier/reviews/
808,"Medical Scheduling Software ,Medical Practice Management Software ,Telemedicine Software",Medesk,https://www.capterra.com/p/166286/Medesk/reviews/
809,"Medical Scheduling Software ,Restaurant Management Software",MakeShift,https://www.capterra.com/p/146099/MakeShift/reviews/
810,"Medical Scheduling Software ,Medical Practice Management Software ,Telemedicine Software",Curogram,https://www.capterra.com/p/232966/Curogram/reviews/
811,"Medical Scheduling Software ,Medical Practice Management Software ,Telemedicine Software",Pomelo Health,https://www.capterra.com/p/166692/Online-Appointment-Booking/reviews/
812,Medical Scheduling Software,FlexBooker,https://www.capterra.com/p/132157/FlexBooker/reviews/
813,"Medical Scheduling Software ,Medical Practice Management Software",One Medical Passport,https://www.capterra.com/p/192601/Medical-Passport/reviews/
814,"Medical Scheduling Software ,Medical Practice Management Software",NephroChoice,https://www.capterra.com/p/80995/iSALUS-EHR/reviews/
815,"Medical Scheduling Software ,Telemedicine Software",Elation Health,https://www.capterra.com/p/147889/ElationHealth/reviews/
816,"Medical Scheduling Software ,Medical Billing Software",Therapy Partner,https://www.capterra.com/p/119406/Therapy-Partner/reviews/
817,Medical Scheduling Software,WeCounsel,https://www.capterra.com/p/141411/wecounsel/reviews/
818,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software",Clearwave,https://www.capterra.com/p/223320/Clearwave/reviews/
819,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software",Remedly,https://www.capterra.com/p/180647/Remedly/reviews/
820,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Hospital Management Software",Insta,https://www.capterra.com/p/130501/Insta-HMS/reviews/
821,Medical Scheduling Software,Experity Patient Engagement,https://www.capterra.com/p/165933/Clockwise-MD/reviews/
822,"Medical Scheduling Software ,Medical Billing Software ,Telemedicine Software ,Healthcare CRM Software",NexHealth,https://www.capterra.com/p/182271/NexHealth/reviews/
823,Medical Scheduling Software,Momentum Scheduling,https://www.capterra.com/p/110308/Momentum-Staff-Scheduling/reviews/
824,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software",MicroMD,https://www.capterra.com/p/74016/MicroMD-EMR/reviews/
825,"Medical Scheduling Software ,Medical Billing Software ,Medical Practice Management Software ,Medical Practice Management Software ,Telemedicine Software ,Healthcare CRM Software",iClinic,https://www.capterra.com/p/191984/iClinic/reviews/
826,"Medical Scheduling Software ,Medical Billing Software ,Healthcare CRM Software",AgileEMR,https://www.capterra.com/p/219702/Agile-EMR/reviews/
827,Medical Scheduling Software,NovoClinical,https://www.capterra.com/p/164437/NovoMedici/reviews/
828,Medical Scheduling Software,MySchedule,https://www.capterra.com/p/150497/MySchedule-com/reviews/
829,Medical Scheduling Software,AgendaPro,https://www.capterra.com/p/218709/AgendaPro/reviews/
830,"Medical Billing Software ,Medical Practice Management Software",Speedy Claims,https://www.capterra.com/p/129536/Speedy-Claims/reviews/
831,"Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",EpicCare EMR,https://www.capterra.com/p/122278/EpicCare-EMR/reviews/
832,"Medical Billing Software ,Medical Practice Management Software",NexTech EMR & PM,https://www.capterra.com/p/122691/Nextech-Practice/reviews/
833,Medical Billing Software,Invoiced,https://www.capterra.com/p/222215/Invoiced/reviews/
834,"Medical Billing Software ,Medical Practice Management Software ,Hospital Management Software",Waystar,https://www.capterra.com/p/45512/ZirMed/reviews/
835,Medical Billing Software,AdvancedMD Billing Services,https://www.capterra.com/p/90208/AdvancedBilling/reviews/
836,"Medical Billing Software ,Medical Practice Management Software",WRS Health,https://www.capterra.com/p/75252/WRS-Health/reviews/
837,"Medical Billing Software ,Medical Practice Management Software",DuxWare,https://www.capterra.com/p/69394/DuxWare/reviews/
838,Medical Billing Software,EZClaim,https://www.capterra.com/p/106348/EZClaim-Medical-Billing/reviews/
839,"Medical Billing Software ,Medical Practice Management Software",CollaborateMD,https://www.capterra.com/p/81299/CollaborateMD-PMS/reviews/
840,"Medical Billing Software ,Medical Practice Management Software",AZZLY Rize,https://www.capterra.com/p/147005/AZZLY/reviews/
841,"Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software ,Hospital Management Software",Azalea Health,https://www.capterra.com/p/123268/Azalea-EHR-RCM/reviews/
842,Medical Billing Software,Quanum EHR,https://www.capterra.com/p/12742/Care360/reviews/
843,Medical Billing Software,Practice EHR,https://www.capterra.com/p/159036/Practice-EHR/reviews/
844,"Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",TriMed Complete,https://www.capterra.com/p/224944/TriMed-Complete/reviews/
845,Medical Billing Software,PlanStreet,https://www.capterra.com/p/180084/PlanStreet/reviews/
846,"Medical Billing Software ,Medical Practice Management Software ,Telemedicine Software",PracticeSuite,https://www.capterra.com/p/116370/PracticeSuite/reviews/
847,"Medical Billing Software ,Medical Practice Management Software",Shrinkrapt,https://www.capterra.com/p/86089/ShrinkRapt/reviews/
848,Medical Billing Software,Ability Network,https://www.capterra.com/p/162841/ABILITY-Network/reviews/
849,"Medical Billing Software ,Healthcare CRM Software",TynetOnline,https://www.capterra.com/p/122771/TynetOnline/reviews/
850,Medical Billing Software,LigoLab LIS & RCM Laboratory Operating Platform,https://www.capterra.com/p/95392/LigoLab-Station/reviews/
851,"Medical Billing Software ,Medical Practice Management Software",AllegianceMD,https://www.capterra.com/p/104324/AllegianceMD/reviews/
852,Medical Billing Software,CGM DAQbilling,https://www.capterra.com/p/213074/CGM-DAQbilling/reviews/
853,"Medical Billing Software ,Medical Practice Management Software",HARMONY Medical,https://www.capterra.com/p/5409/HARMONY/reviews/
